KOs	KO_count	KO_frequency
K00491	19	0.0016747466
K00492	3	0.0002644337
K00493	0	0.0000000000
K00494	112	0.0098721904
K00495	0	0.0000000000
K00496	1924	0.1695901278
K00497	0	0.0000000000
K00498	0	0.0000000000
K00499	2759	0.2431908330
K00500	4652	0.4100484795
K00501	1	0.0000881446
K00502	0	0.0000000000
K00503	10	0.0008814456
K00504	9	0.0007933010
K00505	850	0.0749228735
K00506	0	0.0000000000
K00507	1913	0.1686205377
K00508	1271	0.1120317320
K00509	14	0.0012340238
K00510	24	0.0021154694
K00511	27	0.0023799030
K00512	0	0.0000000000
K00513	0	0.0000000000
K00514	166	0.0146319965
K00515	28	0.0024680476
K00516	17	0.0014984575
K00517	0	0.0000000000
K00518	118	0.0104010577
K00520	2757	0.2430145439
K00521	391	0.0344645218
K00522	12	0.0010577347
K00523	4348	0.3832525342
K00524	7	0.0006170119
K00525	7579	0.6680475981
K00526	8883	0.7829881005
K00527	113	0.0099603349
K00528	7192	0.6339356545
K00529	3715	0.3274570295
K00530	0	0.0000000000
K00531	90	0.0079330101
K00532	25	0.0022036139
K00533	168	0.0148082856
K00534	131	0.0115469370
K00537	10133	0.8931687968
K00540	71	0.0062582636
K00541	7	0.0006170119
K00542	29	0.0025561922
K00543	18	0.0015866020
K00544	50	0.0044072279
K00545	901	0.0794182459
K00546	56	0.0049360952
K00547	3104	0.2736007052
K00548	9611	0.8471573380
K00549	8239	0.7262230057
K00550	24	0.0021154694
K00551	2	0.0001762891
K00552	0	0.0000000000
K00553	5	0.0004407228
K00554	11318	0.9976200970
K00555	7	0.0006170119
K00556	3713	0.3272807404
K00557	4559	0.4018510357
K00558	6616	0.5831643896
K00559	74	0.0065226972
K00560	9724	0.8571176730
K00561	409	0.0360511238
K00562	1	0.0000881446
K00563	3889	0.3427941825
K00564	5977	0.5268400176
K00565	3	0.0002644337
K00566	11017	0.9710885853
K00567	9412	0.8296165712
K00568	10232	0.9018951080
K00569	2881	0.2539444689
K00570	3687	0.3249889819
K00571	3512	0.3095636844
K00572	0	0.0000000000
K00573	9631	0.8489202292
K00574	8065	0.7108858528
K00575	8119	0.7156456589
K00577	5	0.0004407228
K00578	0	0.0000000000
K00579	1	0.0000881446
K00580	0	0.0000000000
K00581	0	0.0000000000
K00582	1	0.0000881446
K00583	0	0.0000000000
K00584	4	0.0003525782
K00586	0	0.0000000000
K00587	3022	0.2663728515
K00588	4306	0.3795504628
K00589	0	0.0000000000
K00590	768	0.0676950198
K00591	361	0.0318201851
K00592	0	0.0000000000
K00594	144	0.0126928162
K00595	4031	0.3553107096
K00596	660	0.0581754077
K00597	0	0.0000000000
K00598	6090	0.5368003526
K00599	3	0.0002644337
K00600	11306	0.9965623623
K00601	8	0.0007051565
K00602	11116	0.9798148964
K00603	245	0.0215954165
K00604	11306	0.9965623623
K00605	9775	0.8616130454
K00606	10346	0.9119435875
K00607	82	0.0072278537
K00608	24	0.0021154694
K00609	10853	0.9566328779
K00610	2546	0.2244160423
K00611	9065	0.7990304099
K00612	2728	0.2404583517
K00613	382	0.0336712208
K00614	3	0.0002644337
K00615	10688	0.9420890260
K00616	6481	0.5712648744
K00617	1977	0.1742617893
K00618	0	0.0000000000
K00619	6027	0.5312472455
K00620	6461	0.5695019833
K00621	180	0.0158660203
K00622	4	0.0003525782
K00623	0	0.0000000000
K00624	74	0.0065226972
K00625	2291	0.2019391803
K00626	8751	0.7713530190
K00627	10311	0.9088585280
K00628	0	0.0000000000
K00629	831	0.0732481269
K00630	121	0.0106654914
K00631	4990	0.4398413398
K00632	8715	0.7681798149
K00633	968	0.0853239312
K00634	1217	0.1072719260
K00635	1176	0.1036579991
K00637	3	0.0002644337
K00638	2196	0.1935654473
K00639	5760	0.5077126487
K00640	10309	0.9086822389
K00641	7098	0.6256500661
K00643	2377	0.2095196122
K00645	11118	0.9799911855
K00646	147	0.0129572499
K00647	4835	0.4261789335
K00648	10387	0.9155575143
K00649	12	0.0010577347
K00650	106	0.0093433230
K00651	3929	0.3463199647
K00652	9408	0.8292639929
K00653	0	0.0000000000
K00654	0	0.0000000000
K00655	10899	0.9606875275
K00656	2943	0.2594094315
K00657	5965	0.5257822829
K00658	10020	0.8832084619
K00659	560	0.0493609520
K00660	0	0.0000000000
K00661	6532	0.5757602468
K00662	606	0.0534156016
K00663	1567	0.1381225209
K00664	0	0.0000000000
K00665	19	0.0016747466
K00666	8620	0.7598060820
K00667	1	0.0000881446
K00668	167	0.0147201410
K00669	355	0.0312913178
K00670	3	0.0002644337
K00671	13	0.0011458792
K00672	431	0.0379903041
K00673	4422	0.3897752314
K00674	9745	0.8589687087
K00675	3307	0.2914940502
K00677	10715	0.9444689290
K00678	124	0.0109299251
K00679	1	0.0000881446
K00680	189	0.0166593213
K00681	8958	0.7895989423
K00682	796	0.0701630674
K00683	724	0.0638166593
K00684	9843	0.8676068753
K00685	1	0.0000881446
K00686	182	0.0160423094
K00687	0	0.0000000000
K00688	5586	0.4923754958
K00689	4	0.0003525782
K00690	213	0.0187747907
K00691	840	0.0740414279
K00692	725	0.0639048039
K00693	73	0.0064345527
K00694	4181	0.3685323931
K00695	77	0.0067871309
K00696	551	0.0485676509
K00697	3970	0.3499338916
K00698	28	0.0024680476
K00699	7	0.0006170119
K00700	7892	0.6956368444
K00701	578	0.0509475540
K00702	343	0.0302335831
K00703	7750	0.6831203173
K00704	3	0.0002644337
K00705	6593	0.5811370648
K00706	0	0.0000000000
K00709	0	0.0000000000
K00710	555	0.0489202292
K00712	769	0.0677831644
K00713	197	0.0173644777
K00714	0	0.0000000000
K00715	23	0.0020273248
K00716	5	0.0004407228
K00717	121	0.0106654914
K00718	552	0.0486557955
K00719	0	0.0000000000
K00720	1427	0.1257822829
K00721	5163	0.4550903482
K00722	48	0.0042309387
K00725	25	0.0022036139
K00726	197	0.0173644777
K00727	711	0.0626707801
K00728	701	0.0617893345
K00729	469	0.0413397973
K00730	0	0.0000000000
K00731	12	0.0010577347
K00733	46	0.0040546496
K00734	1	0.0000881446
K00735	0	0.0000000000
K00736	0	0.0000000000
K00737	277	0.0244160423
K00738	0	0.0000000000
K00739	0	0.0000000000
K00741	0	0.0000000000
K00742	11	0.0009695901
K00743	0	0.0000000000
K00744	0	0.0000000000
K00746	6	0.0005288673
K00747	0	0.0000000000
K00748	10671	0.9405905685
K00749	0	0.0000000000
K00750	392	0.0345526664
K00752	336	0.0296165712
K00753	1	0.0000881446
K00754	9816	0.8652269722
K00756	202	0.0178052005
K00757	1516	0.1336271485
K00758	3619	0.3189951520
K00759	9647	0.8503305421
K00760	5034	0.4437197003
K00761	9613	0.8473336271
K00762	10922	0.9627148524
K00763	8703	0.7671220802
K00764	11117	0.9799030410
K00765	10529	0.9280740414
K00766	9751	0.8594975760
K00767	9749	0.8593212869
K00768	6978	0.6150727193
K00769	4308	0.3797267519
K00770	1	0.0000881446
K00771	123	0.0108417805
K00772	1732	0.1526663729
K00773	11286	0.9947994711
K00774	0	0.0000000000
K00775	0	0.0000000000
K00776	1	0.0000881446
K00777	0	0.0000000000
K00778	2	0.0001762891
K00779	0	0.0000000000
K00780	14	0.0012340238
K00781	4	0.0003525782
K00782	4312	0.3800793301
K00783	10727	0.9455266637
K00784	6162	0.5431467607
K00785	302	0.0266196562
K00786	21	0.0018510357
K00787	0	0.0000000000
K00788	8008	0.7058616130
K00789	11261	0.9925958572
K00790	11284	0.9946231820
K00791	11292	0.9953283385
K00793	11105	0.9788453063
K00794	11167	0.9843102688
K00795	9480	0.8356104011
K00796	10661	0.9397091230
K00797	7693	0.6780960776
K00798	7849	0.6918466285
K00799	8109	0.7147642133
K00800	7041	0.6206258264
K00801	586	0.0516527104
K00802	4	0.0003525782
K00803	1226	0.1080652270
K00804	25	0.0022036139
K00805	3	0.0002644337
K00806	11224	0.9893345086
K00807	400	0.0352578228
K00808	1426	0.1256941384
K00809	1395	0.1229616571
K00810	18	0.0015866020
K00811	0	0.0000000000
K00812	7046	0.6210665491
K00813	4637	0.4087263112
K00814	4	0.0003525782
K00815	0	0.0000000000
K00816	1	0.0000881446
K00817	10712	0.9442044954
K00818	11	0.0009695901
K00819	1800	0.1586602027
K00820	11061	0.9749669458
K00821	7848	0.6917584839
K00822	4725	0.4164830322
K00823	2333	0.2056412517
K00824	3955	0.3486117232
K00825	4	0.0003525782
K00826	10847	0.9561040106
K00827	94	0.0082855884
K00830	3676	0.3240193918
K00831	10738	0.9464962539
