KOs	KO_count	KO_frequency
K00549	15055	0.7034718004
K00550	26	0.0012148965
K00551	2	0.0000934536
K00552	0	0.0000000000
K00553	50	0.0023363394
K00554	21333	0.9968225784
K00555	50	0.0023363394
K00556	7011	0.3276015139
K00557	4732	0.2211111630
K00558	12544	0.5861408345
K00559	449	0.0209803280
K00560	17540	0.8195878697
K00561	2022	0.0944815663
K00562	40	0.0018690715
K00563	8428	0.3938133732
K00564	12049	0.5630110742
K00565	12	0.0005607215
K00566	20663	0.9655156301
K00567	17399	0.8129993926
K00568	14679	0.6859025279
K00569	3006	0.1404607261
K00570	6051	0.2827437970
K00571	6306	0.2946591281
K00572	0	0.0000000000
K00573	11740	0.5485724966
K00574	12091	0.5649735994
K00575	10917	0.5101163497
K00577	40	0.0018690715
K00578	0	0.0000000000
K00579	1	0.0000467268
K00580	0	0.0000000000
K00581	0	0.0000000000
K00582	1	0.0000467268
K00583	6	0.0002803607
K00584	19	0.0008878090
K00586	0	0.0000000000
K00587	4314	0.2015793655
K00588	11285	0.5273118079
K00589	1	0.0000467268
K00590	1214	0.0567263212
K00591	469	0.0219148638
K00592	0	0.0000000000
K00594	1324	0.0618662679
K00595	7491	0.3500303724
K00596	991	0.0463062474
K00597	5	0.0002336339
K00598	10042	0.4692304098
K00599	3	0.0001401804
K00600	20815	0.9726181020
K00601	14	0.0006541750
K00602	20690	0.9667772534
K00603	908	0.0424279239
K00604	21270	0.9938787907
K00605	15735	0.7352460165
K00606	16356	0.7642633522
K00607	124	0.0057941218
K00608	35	0.0016354376
K00609	20505	0.9581327975
K00610	4034	0.1884958647
K00611	17646	0.8245409093
K00612	4060	0.1897107612
K00613	796	0.0371945236
K00614	27	0.0012616233
K00615	18622	0.8701462548
K00616	7960	0.3719452362
K00617	4223	0.1973272277
K00618	0	0.0000000000
K00619	11248	0.5255829167
K00620	13466	0.6292229335
K00621	299	0.0139713098
K00622	432	0.0201859726
K00623	0	0.0000000000
K00624	506	0.0236437550
K00625	2533	0.1183589552
K00626	15622	0.7299658894
K00627	17919	0.8372973226
K00628	0	0.0000000000
K00629	846	0.0395308630
K00630	133	0.0062146629
K00631	5986	0.2797065558
K00632	13280	0.6205317509
K00633	2328	0.1087799636
K00634	3070	0.1434512406
K00635	3111	0.1453670389
K00637	3	0.0001401804
K00638	2652	0.1239194430
K00639	8862	0.4140927994
K00640	18083	0.8449605159
K00641	10929	0.5106770712
K00643	2711	0.1266763235
K00645	20101	0.9392551750
K00646	287	0.0134105883
K00647	5069	0.2368580907
K00648	18233	0.8519695341
K00649	12	0.0005607215
K00650	278	0.0129900472
K00651	8530	0.3985795056
K00652	13020	0.6083827859
K00653	0	0.0000000000
K00654	0	0.0000000000
K00655	20812	0.9724779216
K00656	7988	0.3732535863
K00657	10509	0.4910518200
K00658	12289	0.5742255035
K00659	1377	0.0643427877
K00660	1	0.0000467268
K00661	14148	0.6610906032
K00662	2462	0.1150413532
K00663	4156	0.1941965329
K00664	0	0.0000000000
K00665	25	0.0011681697
K00666	14665	0.6852483529
K00667	2	0.0000934536
K00668	464	0.0216812298
K00669	541	0.0252791926
K00670	17	0.0007943554
