KOs	KO_count	KO_frequency
K00428	137	0.0277215702
K00430	4	0.0008093889
K00431	0	0.0000000000
K00432	3100	0.6272764063
K00433	2032	0.4111695670
K00434	0	0.0000000000
K00435	200	0.0404694456
K00436	1	0.0002023472
K00437	3	0.0006070417
K00440	0	0.0000000000
K00441	625	0.1264670174
K00442	1	0.0002023472
K00443	65	0.0131525698
K00444	12	0.0024281667
K00445	0	0.0000000000
K00446	241	0.0487656819
K00448	22	0.0044516390
K00449	34	0.0068798057
K00450	194	0.0392553622
K00451	315	0.0637393768
K00452	195	0.0394577094
K00453	563	0.1139214893
K00454	0	0.0000000000
K00455	154	0.0311614731
K00456	204	0.0412788345
K00457	308	0.0623229462
K00458	0	0.0000000000
K00459	2230	0.4512343181
K00460	0	0.0000000000
K00461	2	0.0004046945
K00462	43	0.0087009308
K00463	1	0.0002023472
K00464	5	0.0010117361
K00465	1	0.0002023472
K00466	5	0.0010117361
K00467	216	0.0437070012
K00468	0	0.0000000000
K00469	0	0.0000000000
K00471	21	0.0042492918
K00472	365	0.0738567382
K00473	7	0.0014164306
K00474	0	0.0000000000
K00475	0	0.0000000000
K00476	10	0.0020234723
K00477	164	0.0331849454
K00478	0	0.0000000000
K00479	0	0.0000000000
K00480	41	0.0082962363
K00481	64	0.0129502226
K00483	559	0.1131121004
K00484	12	0.0024281667
K00485	127	0.0256980979
K00486	4	0.0008093889
K00487	0	0.0000000000
K00488	1	0.0002023472
K00489	0	0.0000000000
K00490	0	0.0000000000
K00491	1238	0.2505058681
K00492	0	0.0000000000
K00493	0	0.0000000000
K00494	31	0.0062727641
K00495	0	0.0000000000
K00496	1	0.0002023472
K00497	0	0.0000000000
K00498	1	0.0002023472
K00499	5	0.0010117361
K00500	265	0.0536220154
K00501	0	0.0000000000
K00502	0	0.0000000000
K00503	3	0.0006070417
K00504	0	0.0000000000
K00505	27	0.0054633752
K00506	0	0.0000000000
K00507	1	0.0002023472
K00508	3	0.0006070417
K00509	0	0.0000000000
K00510	0	0.0000000000
K00511	0	0.0000000000
K00512	0	0.0000000000
K00513	0	0.0000000000
K00514	3	0.0006070417
K00515	3	0.0006070417
K00516	14	0.0028328612
K00517	1	0.0002023472
K00518	1	0.0002023472
K00520	419	0.0847834885
K00521	313	0.0633346823
K00522	4	0.0008093889
K00523	156	0.0315661675
K00524	0	0.0000000000
K00525	4207	0.8512747875
K00526	3913	0.7917847025
K00527	275	0.0556454877
K00528	4	0.0008093889
K00529	240	0.0485633347
K00530	0	0.0000000000
K00531	24	0.0048563335
K00532	190	0.0384459733
K00533	185	0.0374342372
K00534	19	0.0038445973
K00537	4271	0.8642250101
K00540	1	0.0002023472
K00541	1	0.0002023472
K00542	0	0.0000000000
K00543	0	0.0000000000
K00544	65	0.0131525698
K00545	20	0.0040469446
K00546	0	0.0000000000
K00547	984	0.1991096722
K00548	1981	0.4008498584
K00549	3330	0.6738162687
K00550	0	0.0000000000
K00551	0	0.0000000000
K00552	0	0.0000000000
K00553	0	0.0000000000
K00554	4935	0.9985835694
K00555	6	0.0012140834
K00556	121	0.0244840146
K00557	6	0.0012140834
K00558	2858	0.5783083772
K00559	228	0.0461351679
K00560	4184	0.8466208013
K00561	594	0.1201942533
K00562	0	0.0000000000
K00563	2654	0.5370295427
K00564	3511	0.7104411170
K00565	8	0.0016187778
K00566	4852	0.9817887495
K00567	3790	0.7668959935
K00568	1121	0.2268312424
K00569	0	0.0000000000
K00570	534	0.1080534197
K00571	1488	0.3010926750
K00572	0	0.0000000000
K00573	446	0.0902468636
K00574	1233	0.2494941319
K00575	1912	0.3868878996
K00577	11	0.0022258195
K00578	0	0.0000000000
K00579	0	0.0000000000
K00580	0	0.0000000000
K00581	0	0.0000000000
K00582	0	0.0000000000
K00583	6	0.0012140834
K00584	15	0.0030352084
K00586	0	0.0000000000
K00587	441	0.0892351275
K00588	4081	0.8257790368
K00589	0	0.0000000000
K00590	221	0.0447187374
K00591	61	0.0123431809
K00592	0	0.0000000000
K00594	72	0.0145690004
K00595	877	0.1774585188
K00596	15	0.0030352084
K00597	4	0.0008093889
K00598	919	0.1859571024
K00599	0	0.0000000000
K00600	4666	0.9441521651
K00601	4	0.0008093889
K00602	4687	0.9484014569
K00603	528	0.1068393363
K00604	4935	0.9985835694
K00605	2034	0.4115742614
K00606	2172	0.4394981789
K00607	16	0.0032375556
K00608	0	0.0000000000
K00609	4806	0.9724807770
K00610	903	0.1827195467
K00611	4013	0.8120194253
K00612	161	0.0325779037
K00613	42	0.0084985836
K00614	10	0.0020234723
K00615	3149	0.6371914205
K00616	632	0.1278834480
K00617	1765	0.3571428571
K00618	0	0.0000000000
K00619	1906	0.3856738163
K00620	2797	0.5659651963
K00621	59	0.0119384864
K00622	2	0.0004046945
K00623	0	0.0000000000
K00624	37	0.0074868474
K00625	32	0.0064751113
K00626	3173	0.6420477539
K00627	3422	0.6924322137
K00628	0	0.0000000000
K00629	0	0.0000000000
K00630	0	0.0000000000
K00631	1	0.0002023472
K00632	1270	0.2569809794
K00633	661	0.1337515176
K00634	1546	0.3128288142
K00635	102	0.0206394172
K00637	0	0.0000000000
K00638	240	0.0485633347
K00639	1550	0.3136382032
K00640	4423	0.8949817887
K00641	838	0.1695669769
K00643	45	0.0091056253
K00645	4615	0.9338324565
K00646	81	0.0163901255
K00647	8	0.0016187778
K00648	4538	0.9182517200
K00649	0	0.0000000000
K00650	119	0.0240793201
K00651	3461	0.7003237556
K00652	726	0.1469040874
K00653	0	0.0000000000
K00654	0	0.0000000000
K00655	4902	0.9919061109
K00656	3489	0.7059894779
K00657	2061	0.4170376366
K00658	1374	0.2780250911
K00659	558	0.1129097531
K00660	0	0.0000000000
K00661	3994	0.8081748280
K00662	1092	0.2209631728
K00663	1137	0.2300687981
K00664	0	0.0000000000
K00665	1	0.0002023472
K00666	2136	0.4322136787
K00667	0	0.0000000000
K00668	1	0.0002023472
K00669	118	0.0238769729
K00670	11	0.0022258195
K00671	0	0.0000000000
K00672	6	0.0012140834
K00673	1	0.0002023472
K00674	6	0.0012140834
K00675	1139	0.2304734925
K00677	186	0.0376365844
K00678	18	0.0036422501
K00679	0	0.0000000000
K00680	451	0.0912585998
K00681	1145	0.2316875759
K00682	674	0.1363820316
K00683	2	0.0004046945
K00684	104	0.0210441117
K00685	0	0.0000000000
K00686	716	0.1448806151
K00687	1157	0.2341157426
K00688	3199	0.6473087819
K00689	1450	0.2934034804
K00690	969	0.1960744638
K00691	1202	0.2432213679
K00692	229	0.0463375152
K00693	1	0.0002023472
K00694	515	0.1042088223
K00695	0	0.0000000000
K00696	38	0.0076891947
K00697	31	0.0062727641
K00698	0	0.0000000000
K00699	5	0.0010117361
K00700	3252	0.6580331849
K00701	474	0.0959125860
K00702	501	0.1013759611
K00703	3382	0.6843383246
K00704	0	0.0000000000
K00705	2102	0.4253338729
K00706	2	0.0004046945
K00709	0	0.0000000000
K00710	102	0.0206394172
K00712	1755	0.3551193849
K00713	46	0.0093079725
K00714	0	0.0000000000
K00715	0	0.0000000000
K00716	0	0.0000000000
K00717	30	0.0060704168
K00718	53	0.0107244031
K00719	0	0.0000000000
K00720	64	0.0129502226
K00721	995	0.2013354917
K00722	4	0.0008093889
K00725	6	0.0012140834
K00726	28	0.0056657224
K00727	142	0.0287333064
K00728	809	0.1636989073
K00729	129	0.0261027924
K00730	0	0.0000000000
K00731	0	0.0000000000
K00733	10	0.0020234723
K00734	0	0.0000000000
K00735	0	0.0000000000
K00736	0	0.0000000000
K00737	65	0.0131525698
K00738	0	0.0000000000
K00739	0	0.0000000000
K00741	0	0.0000000000
K00742	3	0.0006070417
K00743	0	0.0000000000
K00744	0	0.0000000000
K00746	5	0.0010117361
K00747	0	0.0000000000
K00748	163	0.0329825981
K00749	0	0.0000000000
K00750	8	0.0016187778
K00752	261	0.0528126265
K00753	0	0.0000000000
