KOs	KO_count	KO_frequency
K00407	8	0.0024176488
K00408	0	0.0000000000
K00410	14	0.0042308855
K00411	13	0.0039286794
K00412	1	0.0003022061
K00413	7	0.0021154427
K00414	4	0.0012088244
K00415	3	0.0009066183
K00416	0	0.0000000000
K00417	0	0.0000000000
K00418	0	0.0000000000
K00419	0	0.0000000000
K00420	0	0.0000000000
K00421	65	0.0196433968
K00422	50	0.0151103052
K00423	181	0.0546993049
K00424	12	0.0036264733
K00425	2868	0.8667271079
K00426	2845	0.8597763675
K00427	81	0.0244786945
K00428	9	0.0027198549
K00430	1	0.0003022061
K00431	1	0.0003022061
K00432	2211	0.6681776972
K00433	2445	0.7388939257
K00434	0	0.0000000000
K00435	2832	0.8558476881
K00436	55	0.0166213358
K00437	69	0.0208522212
K00440	15	0.0045330916
K00441	172	0.0519794500
K00442	0	0.0000000000
K00443	6	0.0018132366
K00444	3	0.0009066183
K00445	0	0.0000000000
K00446	1117	0.3375642188
K00448	1252	0.3783620429
K00449	1716	0.5185856754
K00450	646	0.1952251435
K00451	1638	0.4950135993
K00452	243	0.0734360834
K00453	1336	0.4037473557
K00454	0	0.0000000000
K00455	153	0.0462375340
K00456	1466	0.4430341493
K00457	1147	0.3466304019
K00458	0	0.0000000000
K00459	2398	0.7246902387
K00460	0	0.0000000000
K00461	12	0.0036264733
K00462	77	0.0232698701
K00463	36	0.0108794198
K00464	773	0.2336053188
K00465	17	0.0051375038
K00466	3	0.0009066183
K00467	1460	0.4412209127
K00468	807	0.2438803264
K00469	4	0.0012088244
K00471	317	0.0957993351
K00472	32	0.0096705953
K00473	0	0.0000000000
K00474	12	0.0036264733
K00475	0	0.0000000000
K00476	78	0.0235720762
K00477	1300	0.3928679359
K00478	0	0.0000000000
K00479	524	0.1583559988
K00480	497	0.1501964340
K00481	1088	0.3288002418
K00483	235	0.0710184346
K00484	92	0.0278029616
K00485	999	0.3019038985
K00486	190	0.0574191599
K00487	0	0.0000000000
K00488	0	0.0000000000
K00489	0	0.0000000000
K00490	0	0.0000000000
K00491	373	0.1127228770
K00492	7	0.0021154427
K00493	0	0.0000000000
K00494	636	0.1922030825
K00495	0	0.0000000000
K00496	1011	0.3055303717
K00497	0	0.0000000000
K00498	0	0.0000000000
K00499	1010	0.3052281656
K00500	236	0.0713206407
K00501	1	0.0003022061
K00502	0	0.0000000000
K00503	53	0.0160169235
K00504	2	0.0006044122
K00505	151	0.0456331218
K00506	0	0.0000000000
K00507	787	0.2378362043
K00508	2	0.0006044122
K00509	8	0.0024176488
K00510	0	0.0000000000
K00511	19	0.0057419160
K00512	0	0.0000000000
K00513	0	0.0000000000
K00514	4	0.0012088244
K00515	3	0.0009066183
K00516	92	0.0278029616
K00517	0	0.0000000000
K00518	947	0.2861891810
K00520	1234	0.3729223330
K00521	304	0.0918706558
K00522	3	0.0009066183
K00523	1479	0.4469628286
K00524	0	0.0000000000
K00525	3160	0.9549712904
K00526	2956	0.8933212451
K00527	35	0.0105772137
K00528	1992	0.6019945603
K00529	2339	0.7068600786
K00530	0	0.0000000000
K00531	0	0.0000000000
K00532	3	0.0009066183
K00533	2	0.0006044122
K00534	1	0.0003022061
K00537	1717	0.5188878815
K00540	1970	0.5953460260
K00541	20	0.0060441221
K00542	42	0.0126926564
K00543	6	0.0018132366
K00544	56	0.0169235419
K00545	768	0.2320942883
K00546	8	0.0024176488
K00547	1328	0.4013297069
K00548	2128	0.6430945905
K00549	2776	0.8389241463
